"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"60","After-Repair 21-Point QA Inspection","","partial","After Repair Point","src/components/pipeline/StatusPipelineView.tsx:1184"
"61","AI Repair-Type Classification","","partial","Repair Classification","src/components/settings/SystemManagementSettingsModule.tsx:1017"
"62","Alert Customer SMS/Viber/Telegram","","partial","Alert","src/components/pipeline/StatusPipelineView.tsx:677"
"63","All Device Folders","","partial","s","src/components/prices/PriceSettingsModal.tsx:1148"
"64","All Device Folders (","","partial","s","src/components/prices/PriceSettingsModal.tsx:1075"
"65","All Devices","","partial","s","src/components/crm/CustomerRepairTimeline.tsx:222"
"66","All Events (","","partial","Events","src/components/common/WorkOrderStatusTimeline.tsx:539"
"67","All installed hardware parts and labor services carry an official","","partial","installed hardware parts and labor services carry an official","src/components/common/PrintableInvoiceModal.tsx:393"
"68","All modular repairs and replacement parts installed by","","partial","modular repairs and replacement parts installed by","src/components/portal/CustomerFacingWebPortal.tsx:712"
"69","All Ops Except Settings","","partial","Ops Except","src/components/settings/SystemManagementSettingsModule.tsx:1213"
"70","All Outcomes (","","partial","Outcomes","src/components/crm/CustomerRepairTimeline.tsx:204"
"71","All price modifications, custom models, category names, folder visibility choices, and global rules updated here are saved live to your real-time Firestore database. All team members see updates instantly across devices.","","partial","price modifications custom models category names folder visibility choices and global rules updated here are saved live to your real time Firestore team members see updates instantly across devices","src/components/prices/PriceSettingsModal.tsx:1231"
"72","All Repair Components In Stock","","partial","Repair Components","src/components/dashboard/DashboardOverview.tsx:1557"
"73","All Service Categories (","","partial","Service Categories","src/components/prices/PriceSettingsModal.tsx:1089"
"74","All Tickets (","","partial","Tickets","src/components/dashboard/DashboardOverview.tsx:1861"
"75","Amount Due Now:","","partial","w","src/components/pos/PosInvoicingModule.tsx:774"
"76","Apple Device Model × Component Stock Matrix","","partial","Component","src/components/inventory/InventoryManagementModule.tsx:1440"
"77","Apple Hardware Device Model","","partial","Hardware","src/components/intake/CreateTicketSoloPage.tsx:751"
"78","Apple Repair Service — Staff Login","","partial","Repair Service Login","src/components/auth/LoginPage.tsx:49"
"79","Apply Code to Intake (","","partial","Code to Intake","src/components/common/CameraQrScannerModal.tsx:453"
"80","Apply Diagnostic Fee Only (စက်စစ်ခ သာကောက်မည်)","","partial","Diagnostic Fee Only","src/components/pos/PosInvoicingModule.tsx:586"
"81","Apply Price Adjustment Globally","","partial","Adjustment Globally","src/components/prices/PriceSettingsModal.tsx:1126"
"82","Apply Range","","partial","Range","src/components/common/DateFilterSelector.tsx:421"
"83","Apply Selected Repairs (","","partial","ed","src/components/intake/CreateTicketSoloPage.tsx:1567"
"84","Apply to All or Selected Folder","","partial","to or ed","src/components/prices/PriceSettingsModal.tsx:1060"
"85","Approve Estimate","","partial","Approve","src/components/portal/CustomerFacingWebPortal.tsx:399"
"86","Approve Estimate & Authorize Repair","","partial","Approve Authorize Repair","src/components/portal/CustomerFacingWebPortal.tsx:819"
"87","archived repair tickets from the database. This action cannot be undone.","","partial","archived repair tickets from the","src/components/common/RecycleBinModal.tsx:236"
"88","Archived Work Orders","","partial","Archived","src/components/settings/SystemManagementSettingsModule.tsx:3324"
"89","Assign Technician (","","partial","Assign","src/components/pipeline/StatusPipelineView.tsx:1090"
"90","Assigned Pipeline & QA Only","","partial","Assigned Only","src/components/settings/SystemManagementSettingsModule.tsx:1214"
"91","Assigned Technician:","","partial","nician","src/components/portal/CustomerFacingWebPortal.tsx:627"
"92","Audit Log Note & Repair Evidence *","","partial","Audit Log Repair Evidence","src/components/common/WorkOrderStatusTimeline.tsx:484"
"93","Authorize Repair Estimate","","partial","Authorize Repair","src/components/portal/CustomerFacingWebPortal.tsx:939"
"94","Authorized Apple Hardware Repair Center. Open Mon-Sat 9:00 AM - 6:30 PM.","","partial","Authorized Hardware Repair Center Mon Sat","src/components/settings/SystemManagementSettingsModule.tsx:1532"
"95","Authorized Total:","","partial","Authorized","src/components/portal/CustomerFacingWebPortal.tsx:960"
"96","Auto-Prompt Notification Window on Status Change","","partial","Auto Prompt tification Window on","src/components/settings/SystemManagementSettingsModule.tsx:3091"
"97","Auto-Reserve Parts on Ticket Assignment","","partial","Auto Reserve on Ticket Assignment","src/components/settings/SystemManagementSettingsModule.tsx:2616"
"98","Automatic SMS & Telegram Notification Templates","","partial","Automatic tification Templates","src/components/settings/SystemManagementSettingsModule.tsx:3023"
"99","Automatically open dispatch dialog when ticket moves to Finished, Ready, or Pending Parts.","","partial","Automatically open dispatch dialog when ticket moves to Ready or","src/components/settings/SystemManagementSettingsModule.tsx:3092"
"100","Avg RMA Lead Time (Days)","","partial","Avg Lead Days","src/components/suppliers/SupplierRmaModule.tsx:559; src/components/suppliers/SupplierRmaModule.tsx:651"
"101","Back Glass Color","","partial","Glass Color","src/components/inventory/InventoryManagementModule.tsx:1614"
"102","Background Scanner Active","","partial","ground ner Active","src/components/dashboard/DashboardOverview.tsx:1729"
"103","Background Warranty Monitor Flagged","","partial","ground Warranty Monitor Flagged","src/components/dashboard/DashboardOverview.tsx:1004"
"104","Balance Owed","","partial","Owed","src/components/finance/ShopFinancePlModule.tsx:902"
"105","Balanced","","partial","d","src/components/pos/PosInvoicingModule.tsx:968"
"106","Barcode Decoded Successfully","","partial","Decoded fully","src/components/common/CameraQrScannerModal.tsx:429"
"107","Base Cost","","partial","Base","src/components/common/DeviceTagPrinterModal.tsx:321"
"108","Base Total","","partial","Base","src/components/intake/CreateTicketSoloPage.tsx:1045"
"109","Before Diag Pending (","","partial","Before Diag","src/components/pipeline/StatusPipelineView.tsx:435"
"110","Before Repair Intake Status","","partial","Before Repair Intake","src/components/pipeline/StatusPipelineView.tsx:987"
"111","Beneficiary Name:","","partial","Beneficiary","src/components/pos/PosInvoicingModule.tsx:1047"
"112","Black & White / Grayscale (Ink-Saver)","","partial","Black White Grayscale Ink r","src/components/settings/SystemManagementSettingsModule.tsx:2927"
"113","Bundle Discount:","","partial","Bundle","src/components/prices/QuickPriceCalculatorModal.tsx:590"
"114","Calculated for","","partial","ulated for","src/components/prices/QuickPriceCalculatorModal.tsx:693"
"115","Call Notes & Feedback Details","","partial","Feedback","src/components/followup/CompletedDeviceFollowUpModule.tsx:726"
"116","Callback Scheduled","","partial","back Scheduled","src/components/followup/CompletedDeviceFollowUpModule.tsx:215"
"117","Can't Repair (Unfixable)","","partial","Unfixable","src/components/common/WorkOrderStatusTimeline.tsx:428"
"118","Cards Grid View","","partial","Cards Grid","src/components/intake/IntakeWorkOrderModule.tsx:286"
"119","Cash Amount Tendered (MMK):","","partial","Cash Tendered","src/components/pos/PosInvoicingModule.tsx:1064"
"120","Catalog Discount Auto-Applied:","","partial","Auto Applied","src/components/intake/CreateTicketSoloPage.tsx:974"
"121","Category changes","","partial","changes","src/components/inventory/InventoryManagementModule.tsx:2517"
"122","Category Key (ID)","","partial","Key","src/components/prices/PriceSettingsModal.tsx:749"
"123","Change device model","","partial","device model","src/components/prices/QuickPriceCalculatorModal.tsx:329"
"124","Check Status","","partial","Check","src/components/common/DeviceTagPrinterModal.tsx:261; src/components/common/DeviceTagPrinterModal.tsx:931"
"125","Check Your Repair Status","","partial","Check Your Repair","src/components/portal/CustomerFacingWebPortal.tsx:254"
"126","Checkout Payment (","","partial","Payment","src/components/pipeline/StatusPipelineView.tsx:1128"
"127","Choose a model for this repair ticket","","partial","a model for this repair ticket","src/components/devices/DeviceModelChooserModal.tsx:53"
"128","Choose a model from the Price List","","partial","a model from the","src/components/inventory/InventoryManagementModule.tsx:1559"
"129","Choose a saved bin","","partial","a saved","src/components/inventory/InventoryManagementModule.tsx:1782; src/components/inventory/InventoryManagementModule.tsx:1997"
"130","Choose between a high-density Square / Rectangular Design System or a Soft Curved Geometry for all UI elements, cards, inputs, buttons, and tables.","","partial","between a high density Square Rectangular Design System or Soft Curved Geometry for all elements cards inputs buttons and tables","src/components/settings/SystemManagementSettingsModule.tsx:1696"
"131","Choose Image File","","partial","Image File","src/components/common/CameraQrScannerModal.tsx:378"
"132","Choose quality tier","","partial","quality tier","src/components/inventory/InventoryManagementModule.tsx:1599"
"133","Choose saved bin or type a new bin","","partial","saved or type a new","src/components/inventory/InventoryManagementModule.tsx:1775; src/components/inventory/InventoryManagementModule.tsx:1990"
"134","Choose the currency unit prefix displayed across all repair price tags, quotes, and customer estimates.","","partial","the currency unit prefix displayed across all repair price tags quotes and customer estimates","src/components/prices/PriceSettingsModal.tsx:1186"
"135","Choose your shop's visual theme and color palette. All modules, navigation bars, badges, and controls will update instantly.","","partial","your shop s visual theme and color palette modules navigation bars badges controls will update instantly","src/components/settings/SystemManagementSettingsModule.tsx:1595"
"136","Chronological Repair History & Outcomes (","","partial","Chronological Outcomes","src/components/crm/CrmCustomerPortalModule.tsx:401; src/components/crm/CustomerRepairHistoryModal.tsx:212"
"137","Claim Quantity","","partial","Claim","src/components/inventory/InventoryManagementModule.tsx:2154"
"138","Clear all tickets to reset workflow testing state","","partial","all tickets to reset workflow testing state","src/components/pipeline/StatusPipelineView.tsx:470"
"139","Click 'Log Follow-Up' to record customer status","","partial","Click Log to record customer status","src/components/followup/CompletedDeviceFollowUpModule.tsx:374"
"140","Click to select Apple iPhone, iPad, MacBook, Watch, or Mac","","partial","i","src/components/intake/CreateTicketSoloPage.tsx:764"
"141","Close assistant","","partial","assistant","src/components/ai/AiDiagnosticAssistantModal.tsx:470; src/components/ai/AiDiagnosticAssistantModal.tsx:470"
"142","Close checkout","","partial","checkout","src/components/pipeline/StatusPipelineView.tsx:1122"
"143","Close color picker","","partial","color picker","src/components/intake/CreateTicketSoloPage.tsx:1346"
"144","Close confirmation","","partial","confirmation","src/components/pos/PosInvoicingModule.tsx:1193"
"145","Close debt payment","","partial","debt payment","src/components/finance/ShopFinancePlModule.tsx:1080"
"146","Close details","","partial","details","src/components/inventory/InventoryManagementModule.tsx:1867"
"147","Close Dossier","","partial","Dossier","src/components/crm/CustomerRepairHistoryModal.tsx:233"
"148","Close inline save confirmation","","partial","inline save confirmation","src/components/inventory/InventoryManagementModule.tsx:2506"
"149","Close part details","","partial","part details","src/components/inventory/InventoryManagementModule.tsx:1867"
"150","Close post-diagnosis","","partial","post diagnosis","src/components/pipeline/StatusPipelineView.tsx:1176"
"151","Close repair log","","partial","repair log","src/components/pipeline/StatusPipelineView.tsx:1050"
"152","Close Scanner","","partial","ner","src/components/common/CameraQrScannerModal.tsx:473"
"153","Close search","","partial","search","src/components/common/GlobalSearchModal.tsx:127"
"154","Close status panel","","partial","status panel","src/components/common/OfflineSyncStatusBadge.tsx:77"
"155","Close technician assignment","","partial","technician assignment","src/components/pipeline/StatusPipelineView.tsx:1084"
"156","Close ticket detail","","partial","ticket detail","src/components/pipeline/StatusPipelineView.tsx:739"
"157","Close ticket details","","partial","ticket details","src/components/common/TicketDetailInspectorModal.tsx:207; src/components/intake/IntakeWorkOrderModule.tsx:679"
"158","Close warranty info","","partial","warranty info","src/components/intake/CreateTicketSoloPage.tsx:1395"
"159","Collapse sidebar","","partial","Sidebar","src/components/Navigation.tsx:311; src/components/Navigation.tsx:312"
"160","Completed (Finished / Taken Out) tickets will appear here.","","partial","Completed tickets will appear here","src/components/dashboard/DashboardOverview.tsx:1651"
